loc	Mono	CD4	CD8	Nkcell	Bcell	Ery
chr2:138786120-138786320	3.0876257637684406	-0.2638228435314771	-1.0728429153060697	-0.4770149254305936	0.06293657757760947	0.19078322253239985
chr3:129244249-129244449	2.9384108562844573	-0.21311278243809642	-0.2134647707178815	-0.1758243263106976	0.04148781845086452	-0.10884887224560122
chr22:17203552-17203752	2.260751266818218	-1.1097268842998127	-1.3988675138891962	-1.1836683066736697	-1.310755171900697	-0.636713914059678
chr11:74292263-74292463	3.109185539681616	-0.022748067225593915	-0.7322539222900153	-0.15826253963811787	0.21104831978156868	-0.8213050142398357
chr8:20044652-20044852	3.3775406752042914	0.47848036771523833	0.08745224661013219	0.13361485475477422	-0.8806436644161614	-0.9459091930485628
chr3:185813474-185813674	3.166580915119081	0.23020043545758131	-0.5402998730597689	-0.15691938099450006	0.2674910873704945	0.07574222793455657
chr11:58990199-58990399	4.053067467384665	-0.5390491414348149	-0.6206947855335464	-0.21416803546534516	1.1537830153983495	-0.49422268566083116
chr1:178088876-178089076	2.510280462984039	-0.938857454188886	-0.7799931448110066	-0.478330560020083	-1.21698159699076	-0.3892115528604024
chr14:100891555-100891755	3.125222130092502	0.19956128593545933	0.026228501033356	0.2250132911633	-0.6238512475205622	-0.20546817094784717
chr20:30650688-30650888	4.006413660622909	-0.3462155906804578	-0.9061166760004034	-0.04927177823980677	1.1057151035033397	-1.0292612183435816
chr12:45829845-45830045	3.6836813067451817	-0.012089195255012855	0.4134768451932584	0.04867885449990343	0.7824291133417148	-0.16798807534942897
chr5:53904379-53904579	2.56165481326646	-0.9048582229158598	-0.5469172493292142	-0.3398060139890812	-0.5408458833402809	-0.6150548065542683
chr20:19233495-19233695	2.4829090423412783	-0.6047310587634414	-0.9467193841166728	-0.5186681646449343	-0.46225796527903756	-0.4186289919947556
chr14:75701307-75701507	2.8259903484339888	-0.5170850207913843	-0.7468183167229434	-0.4321557113430824	-0.07590282517859137	-0.42669164845882046
chrX:48525970-48526170	2.1820502460123192	-1.4438532797252575	-0.8943733891316081	-0.7490085895076846	-1.4531203945923437	-0.720065939354697
chr1:160516894-160517094	3.2375070593583652	-0.9804691502583208	-0.8205958529272759	-0.2695171823083164	0.33519929387149966	0.24992242563622785
chr10:90519671-90519871	4.231967521075533	0.8682990692363142	0.5278570895138605	0.5301684742399378	1.3291412718922722	-0.32004248795915985
chr5:173959645-173959845	2.6642546527526982	-0.5333108581617736	-0.6206947855335464	-0.23891022483369195	-1.0159529071333209	-0.35173145726198424
chr11:118162373-118162573	2.4693573394179937	-0.4338616286525146	-1.272743982699799	-1.2949229493438683	-0.8470250878503186	-0.8034179646497159
chr19:8488910-8489110	2.5832609491257177	-0.7143412173789289	-1.0447939978173566	-0.4321557113430824	-0.47363490502169947	-0.32004248795915985
