Motif	Factor	Evidence	Curated
MA0570.2_ABF1	ABF1	ChIP-seq	Y
MA0941.1_ABF2	ABF2	PBM	Y
MA0930.1_ABF3	ABF3	PBM	Y
MA1659.1_ABF4	ABF4	DAP-seq	Y
MA0564.1_ABI3	ABI3	PBM	Y
MA0123.1_abi4	abi4	SELEX	Y
MA0931.1_ABI5	ABI5	PBM	Y
MA1244.1_ABR1	ABR1	DAP-seq	Y
MA1277.1_Adof1	Adof1	DAP-seq	Y
MA0005.2_AG	AG	SELEX	Y
MA0585.1_AGL1	AGL1	SELEX	Y
MA1204.1_AGL13	AGL13	DAP-seq	Y
MA0548.2_AGL15	AGL15	DAP-seq	Y
MA1199.1_AGL16	AGL16	DAP-seq	Y
MA1200.1_AGL25	AGL25	DAP-seq	Y
MA1012.1_AGL27	AGL27	ChIP-seq	Y
MA0001.2_AGL3	AGL3	SELEX	Y
MA1201.1_AGL42	AGL42	DAP-seq	Y
MA1202.1_AGL55	AGL55	DAP-seq	Y
MA1205.1_AGL6	AGL6	DAP-seq	Y
MA1203.1_AGL63	AGL63	DAP-seq	Y
MA0932.1_AHL12	AHL12	PBM	Y
MA0933.1_AHL20	AHL20	PBM	Y
MA0934.1_AHL25	AHL25	PBM	Y
MA0959.1_AIB	AIB	PBM	Y
MA1235.1_AIL7	AIL7	DAP-seq	Y
MA1663.1_ANAC050	ANAC050	DAP-seq	Y
MA1660.1_ANAC13	ANAC13	DAP-seq	Y
MA1375.1_ANL2	ANL2	DAP-seq	Y
MA0571.1_ANT	ANT	SELEX	Y
MA0940.1_AP1	AP1	ChIP-seq	Y
MA0556.1_AP3	AP3	ChIP-seq	Y
MA1098.1_ARALYDRAFT_484486	ARALYDRAFT	PBM	Y
MA1097.1_ARALYDRAFT_493022	ARALYDRAFT	PBM	Y
MA1095.1_ARALYDRAFT_495258	ARALYDRAFT	PBM	Y
MA1096.1_ARALYDRAFT_496250	ARALYDRAFT	PBM	Y
MA1054.1_ARALYDRAFT_897773	ARALYDRAFT	PBM	Y
MA1338.1_AREB3	AREB3	DAP-seq	Y
MA0942.1_ARF1	ARF1	PBM	Y
MA1685.1_ARF10	ARF10	DAP-seq	Y
MA1686.1_ARF13	ARF13	DAP-seq	Y
MA1687.1_ARF14	ARF14	DAP-seq	Y
MA1688.1_ARF16	ARF16	DAP-seq	Y
MA1689.1_ARF18	ARF18	DAP-seq	Y
MA1206.1_ARF2	ARF2	DAP-seq	Y
